 N   , fold ,   FillX    ,  a   ,   RDSUM   ,   RSSUM   
8192 , 3    , rand       , 1000 , 4.216e-06 , 2.108e-06 
8192 , 3    , half_range , 1000 , 4.216e-06 , 2.108e-06 

 N   , fold ,   FillX    ,  a   ,   RDSUM   ,   RSSUM   
8192 , 3    , rand       , 1000 , 6.559e-06 , 4.114e-06 
8192 , 3    , half_range , 1000 , 6.822e-06 , 4.280e-06 

 N   , fold , FillX  ,   DSUM    ,   RDSUM   
64   , 3    , normal , 4.706e-09 , 3.294e-08 
128  , 3    , normal , 9.412e-09 , 6.588e-08 
256  , 3    , normal , 1.882e-08 , 1.318e-07 
512  , 3    , normal , 3.765e-08 , 2.635e-07 
1024 , 3    , normal , 7.529e-08 , 5.271e-07 
2048 , 3    , normal , 1.506e-07 , 1.054e-06 
4096 , 3    , normal , 3.012e-07 , 2.108e-06 

 N   , fold , FillX  ,   DSUM    ,   RDSUM   
64   , 3    , normal , 4.064e-08 , 1.656e-07 
128  , 3    , normal , 9.728e-08 , 2.125e-07 
256  , 3    , normal , 2.110e-07 , 3.055e-07 
512  , 3    , normal , 4.371e-07 , 5.121e-07 
1024 , 3    , normal , 8.902e-07 , 9.028e-07 
2048 , 3    , normal , 1.796e-06 , 1.681e-06 
4096 , 3    , normal , 3.610e-06 , 3.319e-06 

 N   , fold , FillX  , FillY  ,   DDOT    ,   RDDOT   
64   , 3    , normal , normal , 4.706e-09 , 3.294e-08 
128  , 3    , normal , normal , 9.412e-09 , 6.588e-08 
256  , 3    , normal , normal , 1.882e-08 , 1.318e-07 
512  , 3    , normal , normal , 3.765e-08 , 2.635e-07 
1024 , 3    , normal , normal , 7.529e-08 , 5.271e-07 
2048 , 3    , normal , normal , 1.506e-07 , 1.054e-06 
4096 , 3    , normal , normal , 3.012e-07 , 2.108e-06 

 N   , fold , FillX  , FillY  ,   DDOT    ,   RDDOT   
64   , 3    , normal , normal , 3.538e-08 , 1.885e-07 
128  , 3    , normal , normal , 4.770e-08 , 2.367e-07 
256  , 3    , normal , normal , 7.407e-08 , 3.302e-07 
512  , 3    , normal , normal , 1.237e-07 , 5.393e-07 
1024 , 3    , normal , normal , 2.256e-07 , 9.398e-07 
2048 , 3    , normal , normal , 4.526e-07 , 1.827e-06 
4096 , 3    , normal , normal , 1.178e-06 , 3.930e-06 

 ('N', 'M')  , TransA  , fold , FillA  , FillX  , FillY  , a ,   DGEMV   ,  RDGEMV   
(64, 64)     , NoTrans , 3    , normal , normal , normal , 0 , 3.012e-07 , 2.108e-06 
(128, 128)   , NoTrans , 3    , normal , normal , normal , 0 , 1.205e-06 , 8.433e-06 
(256, 256)   , NoTrans , 3    , normal , normal , normal , 0 , 4.819e-06 , 3.373e-05 
(512, 512)   , NoTrans , 3    , normal , normal , normal , 0 , 1.928e-05 , 1.349e-04 
(1024, 1024) , NoTrans , 3    , normal , normal , normal , 0 , 7.710e-05 , 5.397e-04 
(2048, 2048) , NoTrans , 3    , normal , normal , normal , 0 , 3.084e-04 , 2.159e-03 
(4096, 4096) , NoTrans , 3    , normal , normal , normal , 0 , 1.234e-03 , 8.635e-03 

 ('N', 'M')  , TransA  , fold , FillA  , FillX  , FillY  ,  a  ,   DGEMV   ,  RDGEMV   
(64, 64)     , NoTrans , 3    , normal , normal , normal , 100 , 8.297e-06 , 1.746e-05 
(128, 128)   , NoTrans , 3    , normal , normal , normal , 100 , 9.372e-06 , 5.233e-05 
(256, 256)   , NoTrans , 3    , normal , normal , normal , 100 , 2.320e-05 , 1.646e-04 
(512, 512)   , NoTrans , 3    , normal , normal , normal , 100 , 7.678e-05 , 6.425e-04 
(1024, 1024) , NoTrans , 3    , normal , normal , normal , 100 , 3.567e-04 , 2.748e-03 
(2048, 2048) , NoTrans , 3    , normal , normal , normal , 100 , 2.046e-03 , 1.249e-02 
(4096, 4096) , NoTrans , 3    , normal , normal , normal , 100 , 8.716e-03 , 4.977e-02 

 ('N', 'M')  , TransA , fold , FillA  , FillX  , FillY  , a ,   DGEMV   ,  RDGEMV   
(64, 64)     , Trans  , 3    , normal , normal , normal , 0 , 3.012e-07 , 2.108e-06 
(128, 128)   , Trans  , 3    , normal , normal , normal , 0 , 1.205e-06 , 8.433e-06 
(256, 256)   , Trans  , 3    , normal , normal , normal , 0 , 4.819e-06 , 3.373e-05 
(512, 512)   , Trans  , 3    , normal , normal , normal , 0 , 1.928e-05 , 1.349e-04 
(1024, 1024) , Trans  , 3    , normal , normal , normal , 0 , 7.710e-05 , 5.397e-04 
(2048, 2048) , Trans  , 3    , normal , normal , normal , 0 , 3.084e-04 , 2.159e-03 
(4096, 4096) , Trans  , 3    , normal , normal , normal , 0 , 1.234e-03 , 8.635e-03 

 ('N', 'M')  , TransA , fold , FillA  , FillX  , FillY  ,  a  ,   DGEMV   ,  RDGEMV   
(64, 64)     , Trans  , 3    , normal , normal , normal , 100 , 8.206e-06 , 1.294e-05 
(128, 128)   , Trans  , 3    , normal , normal , normal , 100 , 9.489e-06 , 3.225e-05 
(256, 256)   , Trans  , 3    , normal , normal , normal , 100 , 2.370e-05 , 9.511e-05 
(512, 512)   , Trans  , 3    , normal , normal , normal , 100 , 7.981e-05 , 3.193e-04 
(1024, 1024) , Trans  , 3    , normal , normal , normal , 100 , 3.702e-04 , 1.209e-03 
(2048, 2048) , Trans  , 3    , normal , normal , normal , 100 , 2.150e-03 , 5.303e-03 
(4096, 4096) , Trans  , 3    , normal , normal , normal , 100 , 8.631e-03 , 2.100e-02 

 ('N', 'M', 'K')   ,  ('TransA', 'TransB')  , fold , FillA  , FillB  , FillC  , a ,   DGEMM   ,  RDGEMM   
(64, 64, 64)       , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 0 , 1.928e-05 , 1.349e-04 
(128, 128, 128)    , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 0 , 1.542e-04 , 1.079e-03 
(256, 256, 256)    , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 0 , 1.234e-03 , 8.635e-03 
(512, 512, 512)    , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 0 , 9.869e-03 , 6.908e-02 
(1024, 1024, 1024) , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 0 , 7.895e-02 , 5.527e-01 
(2048, 2048, 2048) , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 0 , 6.316e-01 , 4.421e+00 
(4096, 4096, 4096) , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 0 , 5.053e+00 , 3.537e+01 

 ('N', 'M', 'K')   ,  ('TransA', 'TransB')  , fold , FillA  , FillB  , FillC  ,  a  ,   DGEMM   ,  RDGEMM   
(64, 64, 64)       , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 100 , 3.259e-05 , 8.828e-04 
(128, 128, 128)    , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 100 , 1.990e-04 , 4.342e-03 
(256, 256, 256)    , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 100 , 1.434e-03 , 2.493e-02 
(512, 512, 512)    , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 100 , 1.126e-02 , 1.629e-01 
(1024, 1024, 1024) , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 100 , 8.764e-02 , 1.208e+00 
(2048, 2048, 2048) , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 100 , 6.952e-01 , 9.561e+00 
(4096, 4096, 4096) , ('NoTrans', 'NoTrans') , 3    , normal , normal , normal , 100 , 5.952e+00 , 7.515e+01 

